,filepath,title,quarterlength,measures,parts,offsets
0,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv1.6.mxl,,80.0,21,5,0.0
1,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv10.7.mxl,,88.0,22,4,0.0
2,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv101.7.mxl,,48.0,15,4,0.0
3,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv102.7.mxl,,48.0,15,4,0.0
4,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv103.6.mxl,,48.0,15,4,0.0
5,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv104.6.mxl,,40.0,12,4,0.0
6,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv108.6.mxl,,52.0,16,4,0.0
7,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv11.6.mxl,,66.0,23,4,0.0
8,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv110.7.mxl,,44.0,12,4,0.0
9,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv111.6.mxl,,80.0,21,4,0.0
10,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv112.5-sc.mxl,,40.0,12,7,0.0
11,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv112.5.mxl,,56.0,15,4,0.0
12,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv113.8.mxl,,44.0,14,4,0.0
13,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv114.7.mxl,,40.0,12,4,0.0
14,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv115.6.mxl,,40.0,10,4,0.0
15,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv116.6.mxl,,52.0,14,4,0.0
